job_id,role,job_title,jd_text,required_experience,source
1,BI Analyst,Data + Business Intelligence Analyst,"We are building Duolingo's newly formed FP&A / Strategic Finance team as our revenue grows rapidly. We are looking for a data & business intelligence analyst who is hungry to help set up the foundational data elements of the finance team. You will serve as the bridge between the finance and data science teams and serve as the enabler of the strategic finance analyses. The successful candidate for this position has prior experience in data intensive roles and understands fundamental drivers of a business. This role will initially report to the Head of FP&A / Strategic Finance and will play an instrumental role in building the financial future of the company. Duolingo is the most popular language learning application in the world, with over 300 million users and hundreds of billions of data points. We are passionate about educating our users, making fact-based decisions, and finding elegant solutions to complex problems. While we take our mission to heart, we don't take ourselves too seriously; we are creative, and we have fun at work everyday. If this sounds like you, then come help us build the next-generation learning company! Responsibilities Build intuitive and readable dashboards using visualization tools (e.g., Tableau, Plotly, Data Studio) and extract actionable insights Partner with our data science team to develop data pipelines, scalable reporting packages, and assist with statistical methods to drive business results Act as a thought partner in the selection of the company's key performance indicators (KPI), craft its definitions, and track the progress against those target metrics Dissect multiple sources of data in a format applicable for strategic financial analyses Perform data quality assessments and make recommendations for improvements Influence bottoms-up data model design and develop your own data solutions as needed Bridge analytics and finance, speaking both languages Requirements Minimum of a Bachelor's degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field 2-5 years of experience in a data visualization, data scientist, or data analyst role Expertise using SQL to extract, clean, and transform data in large, complex, nested, databases Proficiency with data visualization tools such as Tableau or Data Studio for full-stack data analysis, insight synthesis and presentation Strong ability to condense complex concepts and analysis into clear and concise takeaways that drive action. Excellent written and verbal communication skills with meticulous attention to detail. Demonstrated strong intellectual curiosity Able to relocate to or work in our New York City office Bonus Points Experience with digital subscription and in-app purchase mobile businesses with millions of users Experience at a high growth company that has undertaken an IPO Expertise using Python or R to perform statistical analysis and modeling An impressive Duolingo XP or streak!",5.0,postings.csv/DataAnalyst.csv
2,BI Analyst,Senior Data Bi Analyst,"SUMMARYThe Senior Data BI Analyst will be responsible for developing and enhancing existing in-house reports and dashboards that produce automated IPA reports, Health Plan reports and Management reports. The Analyst will work closely with key business users as well as managers to gather and define the reporting and process requirements. The Analyst will be responsible for analyzing the data for completeness and accuracy.ESSENTIAL DUTIES AND RESPONSIBILITIES* Creation and Maintenance of Power BI reports, MS SSRS, SSAS, Crystal reports, Excel and other tasks as needed* Develop and maintain SQL stored procedures, functions, SSIS packages* Maintain and monitor running jobs in Windows Task Scheduler and SQL Server Agents* Collaborate with business users to gather and define and document requirements* Create and update documentation for all technical and business processes* Collaborate to enhance and develop data warehouse (data marts, OLAP cubes, fact tables and dimension tables)QUALIFICATIONS* Minimum two years of experience with:o MS Office 365 (Power BI, Excel, Access, Power Point, Word, Outlook)o Data-warehouse concepts (Star Schema, SSAS, and MDX queries)o Crystal Reports, SSRS, SSIS.o Programming languages (T-SQL, Python, C#)o MS SQL Server 2016* Excellent verbal and communication skills* Customer service oriented* Knowledge with EZ-Cap or Health Care related databases preferred* An understanding of the healthcare Industry (Eligibility, Claims, Cap Revenue, Cap Expense, and Utilization Management) is preferred.EDUCATION and/or EXPERIENCEBachelor's degree or one to two years related experience and/or training; or equivalent combination of education and experience#zr",,postings.csv/DataAnalyst.csv
3,BI Analyst,SENIOR DATA BI ANALYST,"SUMMARY The Senior Data BI Analyst will be responsible for developing and enhancing existing in-house reports and dashboards that produce automated IPA reports, Health Plan reports and Management reports. The Analyst will work closely with key business users as well as managers to gather and define the reporting and process requirements. The Analyst will be responsible for analyzing the data for completeness and accuracy. ESSENTIAL DUTIES AND RESPONSIBILITIES • Creation and Maintenance of Power BI reports, MS SSRS, SSAS, Crystal reports, Excel and other tasks as needed • Develop and maintain SQL stored procedures, functions, SSIS packages • Maintain and monitor running jobs in Windows Task Scheduler and SQL Server Agents • Collaborate with business users to gather and define and document requirements • Create and update documentation for all technical and business processes • Collaborate to enhance and develop data warehouse (data marts, OLAP cubes, fact tables and dimension tables) QUALIFICATIONS • Minimum two years of experience with: o MS Office 365 (Power BI, Excel, Access, Power Point, Word, Outlook) o Data-warehouse concepts (Star Schema, SSAS, and MDX queries) o Crystal Reports, SSRS, SSIS. o Programming languages (T-SQL, Python, C#) o MS SQL Server 2016 • Excellent verbal and communication skills • Customer service oriented • Knowledge with EZ-Cap or Health Care related databases preferred • An understanding of the healthcare Industry (Eligibility, Claims, Cap Revenue, Cap Expense, and Utilization Management) is preferred. EDUCATION and/or EXPERIENCE Bachelor's degree or one to two years related experience and/or training; or equivalent combination of education and experience #zr",,postings.csv/DataAnalyst.csv
4,BI Analyst,Data & Business Intelligence Analyst,"Description Responsible to provide support to end users of Salesforce at the Rock Church. This position requires very good functional business and systems analysis along with several years of experience administering a Salesforce implementation and development. Experience as an Salesforce administrator and/or developer with good knowledge on Salesforce architecture that clearly understands the best practices to be followed in Salesforce configuration and development. Strong project management experience to lead small to medium sized projects involving Salesforceare needed in order to have a good understanding of Salesforce implementation and customizations. Theanalyst will consult with business management to assess, analyze, recommend, and implement business improvements and initiatives using Salesforce in order to : Use simple techniques to define as-is and to-be process and data flows and solutions, to Business users and other IT team members. Coordinate and lead small and medium sized IT projects & application enhancements, involving multiple departments and geographic regionsthroughout the software development life cycle. The individual should define requirements gathering and analysis, solution design, testing, implementation and support. Ensure business requirements are clearly defined, verifiable and scalable. Create reports or templates based on the enterprise reporting needs. Education and experience Bachelor's Preferred Salesforce Certified Advanced Administrator certification required Salesforce Certified Platform App Builder Salesforce Certified Sale Cloud Consultant or Salesforce Certified Service Cloud Consultant certification strongly preferred. Organizational and Spiritual Requirements Demonstrate Christ-centered behavior at all times by treating people with dignity, respect, compassion and integrity. Utilize the principles of Matthew 18 and Ephesians 4:15 to resolve differences of opinion with others. Successful completion of a thorough pre-employment references and background checks, which include: social security verification, Local, State & Federal criminal conviction records search, national security database, and sex offender registry. Attendance at all mandatory meetings and events. This includes serving at Good Friday, Easter and Christmas services as well as the annual volunteer appreciation event. Member of the Rock Church (Compete Rock Church LIFE class). Regular involvement in Rock Church activities, ministries and events. Tithe 10% to the Rock Church. Signed acknowledgment of the Rock's Statement of Faith. Ability to interpret and adhere to the Rock's policies, procedures and employee handbook. Be self-motivated and goal oriented, use good judgment, and be flexible and innovative. Professional attitude and demeanor. Physical Requirements Reasonable accommodations may be made to enable individuals with disabilities to perform these essential functions. Must be able to work independently, communicate effectively, and lift up to 50lbs (with or without assistance). This position also may require long periods of sitting, standing, walking, and hand/eye coordination for keyboard data entry and viewing data on a computer monitor. External and internal applicants, as well as position incumbents who are or become disabled, as defined under the American with Disabilities Act, must be able to perform the Essential Job Functions either unaided or with assistance of a ""reasonable accommodation"", if such is determined, on a case-by-case basis. Job Posted by ApplicantPro",,postings.csv/DataAnalyst.csv
5,BI Analyst,Business Intelligence Analyst / Data Analyst,"Do you love identifying patterns and anomolies, and digging into the data to understand what shapes the story behind those metrics? Do you enjoy uncovering differences by industry, business model or region? Do you find market shifts superbly interesting, and always look for the case study on how those shifts impact businesses across the broader spectrum? Then you will love this Business Analyst job opening at TalentCare! In this work-from-home position, you will enjoy the autonomy of managing your day-to-day work priorities while interacting with an inquisitive and unconventional team of problem solvers. You will have a report designer to support your efforts, and work directly with senior and executive leadership on a regular basis. Plus, leverage a proprietary database with over half a million profiles, millions of activity metrics, and a robust business intelligence tool to support your analyses. While we are all remote (and always have been), we are a close-knit and collaborative team. We love to experiment and challenge ourselves to see things from new perspectives, with the ultimate goal of making talent acquisition easy. Your Business Intelligence insights will drive operational service delivery, product selection and even product development. Apply today!Business Analyst job responsibilities include: Uncover the story behind the data and help internal stakeholders understand why and how it matters for their clients, teams, or processes Define business requirements by gathering input from relevant stakeholders and translate into data specifications Communicate insights and recommendations to client management team Coordinate with report designer to ensure data accurately answers key business questions Leverage existing or assist in the development of new reports Identify when client data varies significantly from industry benchmarks and alert appropriate teams Business Analyst qualifications: Bachelor’s or master’s degree in Mathematics, Data Science, MIS or similar 4+ years experience in a Business Analyst, Data Analyst, Business Intelligence Analyst or similar role Proven ability to lead the development or refinement of dashboards, visualizations and reports to elegantly and simply answer complex business questions Personable, down-to-earth, and the ability integrate well into a team of witty colleagues",4.0,postings.csv/DataAnalyst.csv
6,BI Analyst,Data Warehouse Analyst,"JOB SUMMARYThis new role will be a key contributor to advancing our Enterprise Data Warehouse (EDW) initiative. This individual will work directly with both our internal EDW team and Data Warehouse Architect, and our Business Analytics Team to analyze, document, and understand both the Technical and Business needs and how the data sources can best be leveraged by our BI/EDW solution. This individual will have demonstrated experience in troubleshooting problems, product improvement, and effective communication with both IT and business partners. Personality and team focus are critical to success at UFCU.With limited supervision the candidate must help support and build our EDW and BI requirements. This candidate must be proactive in delivering detailed business and technical use cases/requirements, understandings of data models, governance, and virtualization, implementing best-practices, testing and troubleshooting data integrity. This role is also responsible for proactively providing project tasks and status updates. This role may provide guidance to junior team members. This role is an on-site role.ESSENTIAL DUTIES AND RESPONSIBILITIESRelative Weight(in %; all functions' total should = 100%)Essential Function Description70%EDW Data Analyst* Understanding of EDW data models, mappings, complex transformations.* Creates and champions processes/methodology for capturing and maintaining EDW metadata and artifacts* Analysis, understanding, and documentation of internal and external source system data, including the quality and meaning of the data* Partner with both IT and business partners to define and deliver data from our source systems into impactful business reporting* Help provide integrity checks on data used to aid with quality* Assists with data warehouse development and enhancements. Provides design support for the development of business intelligence solutions* Writes reports, adds new fields, creates Business Objects filters, measures and objects; and creates dashboards to improve current data warehouse* Provides data analysis and recommendations for the correction, enhancement and/or development of ad-hoc and canned end-user reports* Develops and manages ongoing process improvements to the reporting workflow focusing on automation, accuracy, and timeliness of information30%DW Operations Support* Demonstrate service excellence with an emphasis on ownership of issues and drive for results* Complete incident and service request tasks in a timely manner in order to meet service level agreements* Troubleshoot and resolve complex issues.* Conduct root cause analysis as needed and take action to prevent future occurrences of incidentsN/A* Perform other duties as assigned* Adhere to all company policies, procedures and business ethics codes* Complete required regulatory training as assigned* Maintain strict adherence and compliance to all laws, rules, regulations, policies, procedures and internal controls specific to your role,including but not limited to Bank Secrecy Act, Anti-Money Laundering, USA Patriot Act, OFAC and Fair Lending regulations.QUALIFICATIONSEducation* Associate or bachelor degreeExperience* 3-5 years as a business intelligence analyst, data analyst, business analyst or similar role* Experience creating visualizations and dashboards using PowerBI, Tableau* Strong expertise with Excel, SQL, and Python, other like scripting/reporting tools* Demonstrated ability to work cross-organizationally to gather business requirements, track and measure against goals, objectives or KPIs* Demonstrated ability to interpret data to understand business impact and derive business insights* Good understanding of SQL Database and data warehouse design principles (e.g. facts, dimensions)* Demonstrated understanding of EDW Data Modeling frameworks* Demonstrated ability and understanding of T-SQLPreferred Skills* Knowledge of basic programming concepts and systems implementation* Familiarity with Microsoft Visual Studio, SQL Server Reporting Services, and Team Foundation Server/Azure DevOps highly desirable* Demonstrated experience/proficiency in data analysis* Hands-on experience with Quality Assurance Documentation and report buildersSpecialized Knowledge, Licenses, Certifications, etc.* Demonstrated knowledge of IT technologies - server, network and storage* Superb analytical & troubleshooting skills* Highly collaborative/Team Player* Excellent customer service and communication skills* High level of organization and prioritization* Define and develop complex systems* Must be able to pass a financial and criminal background checkPHYSICAL DEMANDSThe physical demands described here are representative of those that must be met by an employee in order to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.* While performing the duties of this job, the employee is regularly required to sit; use hands to finger, handle or feel; reach with hands and arms; and talk or hear.* Specific vision abilities required by this job include close vision, distance vision, peripheral vision and ability to adjust focus.* The employee is frequently required to stand and walk.* Employee will make extensive use of the telephone requiring the ability to effectively and accurately explain complex information.WORK ENVIRONMENTThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.* This position may involve periodic stressful conditions.* May occasionally require an adjusted work schedule, overtime, and evening/weekend hours.* May occasionally move from one work location/branch to another.* Public contact position, requiring appropriate professional appearance.* Frequent computer use at a workstation up to two hours at a time.* The noise level in the work environment is usually moderate.CRITICAL JOB COMPETENCIESUFCU Core Competencies. In addition to fulfilling the position's Essential Duties and Responsibilities, an individual must demonstrate UFCU's Core Competencies:* Leading & Developing Self* Organizational ImpactNothing in this job description restricts management from changing any or all parts of the job description at any time.#INDUFCU",5.0,postings.csv/DataAnalyst.csv
7,BI Analyst,Senior Data Analyst / Senior BI and Insights Analyst,"Title: Senior Data Analyst / Senior BI and Insights Analyst Employment Type: W2 LinkedIn is a must Key Responsibilities: · Develops and supports multiple reporting, analyses and data initiatives across Product & Application Security organization · Identifies, analyzes, and interprets trends or patterns, spots anomalies in complex data sets from a wide variety of data sources · Develops intuitive dashboards and reports using visualization tools such as PowerBI, Tableau that provide visibility into key performance indicators across all Product & Application Security programs · Creates and updates operational executive dashboards, reports, and templates · Designs, creates and publishes weekly, monthly & quarterly operational reports · Produces high quality output in a clear format that highlights actionable data points · Develops and manages ongoing process improvements to the reporting workflow focusing on automation, accuracy, and timeliness of information · Develops best practices and benchmarks for data analysis and reporting for the team · Proactively engages internal and external partners to identify reporting needs and opportunities on an ongoing basis · Collaborates with Product & Application Security domain leads to identify key performance indicators (KPIs) and operational metrics · Drives transition from delivering metrics in presentations to showing live and interactive metric reporting Essential Requirements: · Bachelor’s degree in Information Systems, Mathematics, Statistics, Computer Science, or related field, or equivalent professional experience · 8+ years of related experience as a business intelligence analyst, data analyst, business analyst or similar role · Experience creating visualizations and dashboards using PowerBI, Tableau and/or Qlik · Strong expertise with Excel, SQL, and Python, other like scripting/reporting tools · Demonstrated ability to work cross-organizationally to gather business requirements, track and measure against goals, objectives or KPIs · Demonstrated ability to interpret data to understand business impact and derive business insights Desired Requirements: · Experience with Atlassian tools (Jira Core, Jira Software, Jira Service Desk) or other workflow management systems · Experience working in a technology/software company · Experience working with an Engineering Operations, Security or Risk Management organization is a plus Key Characteristics: · Excellent written and verbal communication skills · Ability to dialogue with engineering at a reasonable level of technical depth · Ability to prioritize projects, tasks and deliverables and manage dynamic priorities Job Types: Full-time, Part-time",8.0,postings.csv/DataAnalyst.csv
8,BI Analyst,Power BI Data Analyst,"** PLEASE PROVIDE COVER LETTER, RESUME, AND VISUAL EXAMPLE(S) OF PAST PROJECT(S) DEMONSTRATING KNOWLEDGE OF POWER BI. ALSO INCLUDE REFERENCES** BACKGROUND CHECK REQUIRED *******MUST BE A US CITIZEN******* LEFTA Systems has been working to build better software for law enforcement agencies and their employees for over 10 years. Due to the current climate, things are moving fast and so are we. LEFTA Systems now offers a complete SUITE of products to accommodate all of an agency’s internal documentation processes. This is a very exciting time to join the company and be a part of our explosive growth and on the forefront of current events in law enforcement. LEFTA Systems is looking for an experienced Power BI analyst to create and maintain custom built business intelligence reports and dashboards by harnessing data from software applications our law enforcement clients use. You will be responsible for designing, developing, implementing, and supporting business analytical and reporting needs. The ideal candidate must be able to work with multiple teams and business units simultaneously and thrive in a fast paced, dynamic environment. You must be able to demonstrate the eagerness and ability to learn and must work well in a remote environment. Candidates must be friendly and outgoing with clients, willing to solve problems, and take on responsibility. The person chosen will be trained to have thorough knowledge of all company software applications, a necessary requirement for success in this position. The Data Analyst will report directly to the Chief Information Officer. Qualifications: - Bachelors Degree in Computer Science or related field - Minimum of 5 years overall IT experience - Minimum of 5 years of SQL Server experience - Extensive experience with Power BI - Broad exposure in the new techniques in Agile Data Warehousing and Data Integration technologies - Skilled in interpreting, extrapolating, and interpolating data for statistical research and modeling - Skilled in analyzing statistics and reports to determine business performance and trends - Advanced database and presentation software skills - Experience and successful track record in Project Management from requirements gathering to deployment and user training - Strong conceptual and analytical skills: SQL, problem solving, performance tuning, and test case analysis - Technical expertise in distributed system architecture, design, and development - Adept at queries, report writing, and presenting findings - Able to communicate effectively with all levels of management in a clear and professional manner, both verbally and in writing, and possess superior people management and leadership skills - Strong decision making and technical design skills - Ability to collaborate effectively and work as part of a team - Ability to multitask Job Type: Full-time Benefits: Dental Insurance Health Insurance Paid Time Off Retirement Plan Vision Insurance Schedule: Day shift Monday to Friday Experience: Power BI: 3 years (Required) overall IT: 5 years (Required) SQL Server: 5 years (Required) Education: Bachelor's (Required) Location: Jacksonville, FL (Required) Work authorization: United States (Required) Application Question: Are you a US Citizen? Work Location: Fully Remote Company's website: https://leftasystems.org/ Benefit Conditions: Waiting period may apply Only full-time employees eligible Work Remotely: Yes",10.0,postings.csv/DataAnalyst.csv
9,BI Analyst,Senior Data Analyst - Finance & Platform Analytics,"About Us Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog. About the Role The Financial Planning and Analysis team partners with all departments at Twitch to guide financial decisions and provide insights. For this role, we are looking for an experienced Data/Business Intelligence Analyst who will oversee data, including repeatable, scaleable and consistent data/dashboard/report building, metrics reviews, channel investments, guidance on success/failure metrics, cost/benefit and ad hoc analysis. You will also manage projects and interact with technical and non-technical staff members throughout the company. Your leadership efforts will have a direct impact on hundreds of stakeholders at Twitch. You will report to our Senior Director of Revenue & Margin Finance. You Will: Prioritize and perform in the face of ambiguity: work with partners and mentors to distill the problem, adapt your tools to answer complicated questions, and identify the trade-offs between speed and quality of different approaches Promote data knowledge and insights: manage communications with your stakeholders and other teams, work with technical and non-technical colleagues to complete data projects and ensure all parties can use the insights to further improve Create actionable insights from data analysis covering viewer, creator, ad sales, commerce and content deals Maintain a customer-centric focus: work to be a domain and product expert through data, develop trust among your peers and partners, and ensure that your team has access to data to make decisions Create analytical frameworks to measure team success: partner with cross-functional teams to establish success metrics, create approaches to track the data and troubleshoot errors, quantify and evaluate the data, then develop a common language for all colleagues to understand these KPIs Operationalize data processes: provide the team with ad-hoc analysis, automated dashboards, and self-service reporting tools so that everyone gets a good sense of the state of the business You Have: A Bachelor's degree and 8+ years of domain experience in a consumer internet business, or in a high-velocity, high-growth product or business unit Experience building customer insights from transaction data including LTV, CAC, with fluency in data analysis, including time series analysis, cohort analysis, experimentation, data visualization, and defining KPI strategy Expert SQL skills. Ability to tap into Twitch's data pipeline will be important Strategic and analytical capabilities Strong ability to lead projects Bonus Points Product analytics experience with signup funnels, engagement metrics, and retention analysis Technical background and programming experience especially R or Python Statistics knowledge and hypothesis testing experience Experience developing dashboards using Tableau Passion about online communities, games, and Twitch Perks Medical, Dental, Vision & Disability Insurance 401(k) Maternity & Parental Leave Flexible PTO Commuter Benefits Amazon Employee Discount Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages, etc.) Breakfast, Lunch & Dinner Served Daily Free Snacks & Beverages We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",8.0,postings.csv/DataAnalyst.csv
10,BI Analyst,BI Data Analyst / Business Analyst,"We are looking for Business Intelligence Analyst for San Ramon, CA and San Jose, CA locations. Should have exp on Requirement Gathering in BI project Must have experience in Business Objects Should have experience in Oracle, Sql and Customer interaction. Preference will be given to local candidates. Total 6+ years experience. BS in Computer Science, information systems or Computer Engineering requid. MS is preferred. Thanks Amanpreet Sharma Ph: (925) 973-0000 x 203(Off) Fax: (408) 273-6002 | Email: aman@allianceit.com Apply",6.0,postings.csv/DataAnalyst.csv
